;Alin hyväksytty pistemäärä;Ylin hyväksytty pistemäärä
Englanti, kielten kandiohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);65,00;144,30
Erityispedagogiikka, kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);76,00;97,00
Espanja, kielten kandiohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);58,50;146,00
Farmaseutin koulutusohjelma, farmaseutti (3 v);8,75;168,70
Filosofian kandiohjelma (opetus suomeksi), humanististen tieteiden tai valtiotieteiden kandidaatti ja filosofian tai valtiotieteiden maisteri (3 v + 2 v);76,50;131,40
Fysikaalisten tieteiden kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);36,00;135,00
Geotieteiden kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);9,25;139,60
Hammaslääketieteen koulutusohjelma (opetus suomeksi), hammaslääketieteen lisensiaatti (5,5 v), hammaslääketieteen yhteisvalinta;124,85;194,30
Historian kandiohjelma (opetus suomeksi), humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);73,00;153,60
Italia, kielten kandiohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);85,00;116,30
Kandidatprogrammet i biologi (för sökande med kunskaper i svenska), kandidat i naturvetenskaper och filosofie magister (3 år + 2 år);74,00;137,00
Kandidatprogrammet i filosofi (undervisning på svenska), kandidat i humanistiska vetenskaper och filosofie eller politices magister (3 år + 2 år);33,00;125,70
Kandidatprogrammet i historia (undervisning på svenska), kandidat i humanistiska vetenskaper och filosofie magister (3 år + 2 år);42,00;153,60
Kandidatprogrammet i samhällsvetenskaper (avläggs på svenska), journalistik och kommunikation, rättsvetenskap, socialpsykologi, sociologi, statskunskap med förvaltning, politices kandidat (3 år + 2 år);19,00;155,90
Kemian kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);29,00;138,40
Klasslärare (undervisning på svenska), pedagogie kandidat och magister (3 år + 2 år);48,50;89,00
Kotitalousopettaja, kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);52,50;100,00
Kulttuurien tutkimuksen kandiohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);67,00;145,10
Käsityönopettaja, kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);66,50;90,00
Logopedian kandiohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);67,00;142,20
Luokanopettaja (opetus suomeksi), kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);64,50;101,00
Lärare inom småbarnspedagogik (undervisning på svenska), nationell flerformsutbildning för personer verksamma inom småbarnspedagogik, pedagogie kandidat (3 år);47,50;75,00
Lärare inom småbarnspedagogik (undervisning på svenska), pedagogie kandidat (3 år);51,00;92,00
Lääketieteen koulutusohjelma (opetus suomeksi), lääketieteen lisensiaatti (6 v), lääketieteen yhteisvalinta;150,25;199,00
Maailman kielet ja kielitieteet, kielten kandiohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);65,50;159,70
Maantieteen kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);84,00;135,50
Maataloustieteiden kandiohjelma, maatalous- ja metsätieteiden kandidaatti ja maisteri (3 v + 2 v);10,50;124,60
Magisteransökan, allmän pedagogik och vuxenpedagogik (undervisning på svenska), magisterprogrammet i pedagogik, pedagogie magister (2 år);44,17;61,49
Magisteransökan, klasslärare (undervisning på svenska), magisterprogrammet i pedagogik, pedagogie magister (2 år);4,00;4,00
Magisteransökan, magisterprogrammet i samhällsvetenskaper (avläggs på svenska), politices magister (2 år);21,00;34,00
Maisterihaku, alue- ja kulttuurintutkimuksen maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, elintarviketalouden ja kulutuksen maisteriohjelma, elintarviketieteiden maisteri tai maatalous- ja metsätieteiden maisteri (2 v);26,50;27,50
Maisterihaku, erityispedagogiikka, kasvatustieteiden maisteriohjelma, kasvatustieteen maisteri (2 v);60,22;115,45
Maisterihaku, filosofian maisteriohjelma, valtiotieteiden maisteri tai filosofian maisteri (2 v);22,00;28,00
Maisterihaku, historian maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, kielten maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, kirjallisuudentutkimuksen maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, kulttuuriperinnön maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, kääntämisen ja tulkkauksen maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, logopedian maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, luokanopettaja (opetus suomeksi), kasvatustieteiden maisteriohjelma, kasvatustieteen maisteri (2 v);4,00;5,00
Maisterihaku, matematiikan, fysiikan ja kemian opettajan maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, oikeustieteen maisterin koulutusohjelma, oikeustieteen maisteri (2 v);?;?
Maisterihaku, pohjoismaisten kielten ja kirjallisuuksien maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, politiikan ja viestinnän maisteriohjelma, valtiotieteiden maisteri (2 v);26,00;30,00
Maisterihaku, psykologian maisteriohjelma, psykologian maisteri (2,5 v);11,00;16,00
Maisterihaku, sosiaali- ja terveystutkimuksen ja -johtamisen maisteriohjelma, valtiotieteiden maisteri (2 v);18,00;22,00
Maisterihaku, sosiaalitieteiden maisteriohjelma, valtiotieteiden maisteri (2 v);25,00;32,00
Maisterihaku, sukupuolentutkimuksen maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, suomen kielen ja suomalais-ugrilaisten kielten ja kulttuurien maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, taiteiden tutkimuksen maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, teologian ja uskonnontutkimuksen maisteriohjelma, teologian maisteri (2 v);?;?
Maisterihaku, terveydenhuollon kehittämisen maisteriohjelma, terveystieteiden maisteri (2 v);4,00;88,40
Maisterihaku, varhaiskasvatus, kasvatustieteiden maisteriohjelma, kasvatustieteen maisteri (2 v);93,58;130,20
Maisterihaku, yhteiskunnallisen muutoksen maisteriohjelma, valtiotieteiden maisteri (2 v);23,00;33,00
Maisterihaku, yleinen ja aikuiskasvatustiede (opetus suomeksi), kasvatustieteiden maisteriohjelma, kasvatustieteen maisteri (2 v);91,52;124,29
Matemaattisten tieteiden kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);67,40;132,70
Matematiikan, fysiikan ja kemian opettajan kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);84,00;194,20
Metsätieteiden kandiohjelma, maatalous- ja metsätieteiden kandidaatti ja maisteri (3 v + 2 v);16,00;117,80
Molekyylibiotieteiden kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);63,50;166,70
Nordiska språk (svenska som modersmål) och nordisk litteratur, kandidatprogrammet i finskugriska och nordiska språk och litteraturer, kandidat i humanistiska vetenskaper och filosofie magister (3 år + 2 år);51,00;138,80
Oikeusnotaarin koulutusohjelma (opetus Helsingissä suomeksi), oikeusnotaari ja oikeustieteen maisteri (3 v + 2 v);58,00;152,20
Oikeusnotaarin koulutusohjelma, opetus Vaasassa suomeksi ja ruotsiksi (suomen kielen taitoisille hakijoille), oikeusnotaari ja oikeustieteen maisteri (3 v + 2 v);55,00;132,80
Pf-koulutus, proviisorin koulutusohjelma, proviisori (2 v);29,00;38,50
Pohjoismaiset kielet (ruotsi toisena kotimaisena kielenä), kotimaisten kielten ja kirjallisuuksien kandiohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);27,00;144,50
Politiikan ja viestinnän kandiohjelma, valtiotieteiden kandidaatti ja maisteri (3 v + 2 v);65,69;149,80
Proviisorin koulutusohjelma, farmaseutti ja proviisori (3 v + 2 v);22,25;173,90
Psykologian kandiohjelma, psykologian kandidaatti ja psykologian tai filosofian maisteri (3 v + 2,5 / 2 v);85,60;153,40
Ranska, kielten kandiohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);54,00;150,80
Saksa, kielten kandiohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);36,50;139,10
Socialt arbete, kandidatprogrammet i samhällsvetenskaper (avläggs på svenska), politices kandidat (3 år + 2 år);16,00;124,40
Sosiaalipsykologia, sosiologia ja yhteiskuntapolitiikka, sosiaalitieteiden kandiohjelma, valtiotieteiden kandidaatti ja maisteri (3 v + 2 v);24,00;157,90
Sosiaalityö, sosiaalitieteiden kandiohjelma, valtiotieteiden kandidaatti ja maisteri (3 v + 2 v);38,00;139,10
Soveltavan psykologian kandiohjelma, psykologian kandidaatti ja filosofian maisteri (3 v + 2 v);72,50;148,70
Suomen kieli ja kulttuuri (vieraskielisille hakijoille), kotimaisten kielten ja kirjallisuuksien kandiohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);57,50;91,30
Suomen kieli ja suomalais-ugrilaiset kielet ja kulttuurit sekä kotimainen kirjallisuus, kotimaisten kielten ja kirjallisuuksien kandiohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);39,00;149,00
Taiteiden tutkimuksen kandiohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);70,50;149,00
Taloustieteen kandiohjelma, valtiotieteiden kandidaatti ja maisteri (3 v + 2 v);86,90;123,90
Teologian ja uskonnontutkimuksen kandiohjelma, teologian kandidaatti ja maisteri (3 v + 2 v);12,25;150,80
Tietojenkäsittelytieteen kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);51,99;132,70
Utbildningsprogrammet för rättsnotarie (undervisning i Helsingfors på svenska), rättsnotarie och juris magister (3 år + 2 år);45,00;138,60
Utbildningsprogrammet för rättsnotarie, undervisning i Vasa på svenska och finska (för sökande med kunskaper i svenska), rättsnotarie och juris magister (3 år + 2 år);38,00;129,30
Utbildningsprogrammet i medicin (undervisning på svenska), medicine licentiat (6 år), den gemensamma antagningen i medicin;140,75;199,00
Varhaiskasvatuksen opettaja (opetus suomeksi), kasvatustieteen kandidaatti (3 v);55,50;95,00
Varhaiskasvatuksen opettaja (opetus suomeksi), valtakunnallinen monimuotokoulutus varhaiskasvatuksen tehtävissä toimiville, kasvatustieteen kandidaatti (3 v);54,50;78,50
Venäjä vieraana kielenä, kielten kandiohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);54,00;153,90
Venäjä äidinkielenä, kielten kandiohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);61,00;94,00
Yhteiskunnallisen muutoksen kandiohjelma, valtiotieteiden kandidaatti ja maisteri (3 v + 2 v);64,04;149,80
Yleinen ja aikuiskasvatustiede (opetus suomeksi), kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);10,00;121,90
Ympäristö- ja elintarviketalouden kandiohjelma, maatalous- ja metsätieteiden kandidaatti ja maisteri tai elintarviketieteiden kandidaatti ja maisteri (3 v + 2 v);6,50;110,10
Ympäristötieteiden kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);86,60;165,20
Humanistinen ammattikorkeakoulu;;
Community Educator, Adventure and Outdoor Education (Bachelor of Humanities), 2024;22,75;75,35
Kulttuurituottaja (AMK), kulttuurituotanto, monimuotototeutus, Jyväskylän kampus;101,00;162,35
Kulttuurituottaja (AMK), kulttuurituotanto, monimuotototeutus, Turun kampus;124,25;177,97
Kulttuurituottaja (AMK), kulttuurituotanto, verkkototeutus, Helsingin kampus;53,50;88,50
Kulttuurituottaja (AMK), kulttuurituotanto, verkkototeutus, Tampereen toimipiste;50,50;86,00
Kulttuurituottaja (ylempi AMK), kulttuurituotanto, verkkototeutus;?;?
Tulkki (AMK), tulkkaus ja kommunikaatio-ohjaus, monimuotototeutus;28,00;333,88
Tulkki (AMK), viittomakielen tulkkaus, päivätoteutus;74,00;316,10
Yhteisöpedagogi (AMK), järjestö- ja nuorisotyö, monimuotototeutus, Helsingin kampus;70,00;320,83
Yhteisöpedagogi (AMK), järjestö- ja nuorisotyö, monimuotototeutus, Jyväskylän kampus, Korpilahti;55,00;301,81
Yhteisöpedagogi (AMK), järjestö- ja nuorisotyö, monimuotototeutus, Kuopion kampus;53,00;280,45
Yhteisöpedagogi (AMK), järjestö- ja nuorisotyö, monimuotototeutus, Tampereen toimipiste;93,00;316,99
Yhteisöpedagogi (AMK), järjestö- ja nuorisotyö, monimuotototeutus, Turun kampus;74,00;312,28
Yhteisöpedagogi (AMK), järjestö- ja nuorisotyö, verkkototeutus (MOVE);70,00;307,83
Yhteisöpedagogi (AMK), järjestö- ja nuorisotyö, verkkototeutus (MOVE), syksy 2023;75,65;116,50
Yhteisöpedagogi (AMK), työyhteisön kehittäjä, verkkototeutus (TYKE);99,00;335,14
Yhteisöpedagogi (AMK), työyhteisön kehittäjä, verkkototeutus (TYKE), syksy 2023;103,00;141,00
Yhteisöpedagogi (ylempi AMK), verkkototeutus;63,00;96,00
Hämeen ammattikorkeakoulu;;
Agrologi (AMK), maaseutuelinkeinot, kevään yhteishaku;42,00;206,47
Artenomi (AMK), älykäs ja kestävä muotoilu, päivätoteutus, kevään yhteishaku;53,00;100,00
